Rapport_Collecte,Rapport_clean,Contamination,Etat_materiau
"Papier usagé depuis le Centre de Tri. Poids relevé : 14.3 kg. Faible rigidité, non conducteur. Odeur inhabituelle signalée par l'agent.",papier usagé depuis centre tri relevé 14 3kg faible rigidité conducteur odeur inhabituelle signalée agent,0,Inconnu
"Déchets en verre identifiés en provenance de l'Usine B. Poids 176.6 kg, volume 328.7 L. Non conducteur, très rigide. Nécessite manipulation avec précaution.",déchets verre identifiés 176 6kg 328 conducteur très rigide nécessite manipulation précaution,0,Inconnu
"Déchets en verre identifiés depuis l'Usine B. Poids 143.1 kg, volume 282.7 L. Non conducteur, très rigide. Nécessite manipulation avec précaution.",déchets verre identifiés depuis 143 1kg 282 conducteur très rigide nécessite manipulation précaution,0,Inconnu
"Déchet non catégorisé collecté via la collecte citoyenne. Poids non mesuré kg, volume 135.1 L. Caractéristiques ambiguës. Nécessite analyse complémentaire.",catégorisé via citoyenne mesuré 135 caractéristiques ambiguës nécessite analyse complémentaire,0,Inconnu
"Déchet de type papier identifié à l'Usine B. Volume estimé 34.6 L, poids 8.6 kg. Texture souple, très opaque.",papier identifié 34 8 6kg texture souple très opaque,0,Inconnu
"Collecte de déchets papier issu de la collecte citoyenne. Masse 17.2 kg. Matériau souple, sans conductivité électrique. Surface très opaque.",déchets papier citoyenne 17 2kg souple sans conductivité électrique surface très opaque,0,Inconnu
"Déchet métallique détecté depuis l'Usine B. Poids 41.6 kg, volume 116.4 L. Conductivité élevée (0.855), rigidité importante. Matériau mélangé à d'autres déchets.",métallique détecté depuis 41 6kg 116 conductivité élevée 0 855 rigidité importante mélangé autres déchets,0,Inconnu
"Collecte de déchets papier sans localisation enregistrée. Masse non mesuré kg. Matériau souple, sans conductivité électrique. Surface très opaque.",déchets papier sans localisation enregistrée mesuré souple sans conductivité électrique surface très opaque,0,Inconnu
"Collecte de déchets papier provenant de l'Usine A. Masse 11.4 kg. Matériau souple, sans conductivité électrique. Surface très opaque.",déchets papier provenant 11 4kg souple sans conductivité électrique surface très opaque,0,Inconnu
"Verre recyclable à l'emplacement non spécifié. Poids 142.5 kg, volume 313.8 L. Rigidité extrêmement rigide, faible conductivité. Surface lisse.",verre recyclable emplacement spécifié 142 5kg 313 rigidité extrêmement rigide faible conductivité surface lisse,0,Inconnu
"Papier usagé en provenance de l'Usine B. Poids relevé : 16.7 kg. Faible rigidité, non conducteur. Étiquetage absent sur le conteneur.",papier usagé relevé 16 7kg faible rigidité conducteur étiquetage absent conteneur,0,Inconnu
"Collecte de déchets papier à l'Usine A. Masse 23.1 kg. Matériau semi-rigide, sans conductivité électrique. Surface très opaque.",déchets papier 23 1kg semi rigide sans conductivité électrique surface très opaque,0,Inconnu
"Lot métallique en provenance de l'Usine A. Poids 45.8 kg, volume 98.1 L. Conducteur, très rigide. Aspect très opaque. Acheminement prioritaire demandé.",métallique 45 8kg 98 conducteur très rigide aspect très opaque acheminement prioritaire demandé,0,Inconnu
"Ferraille ou métal collecté provenant de l'Usine A. Masse 84.6 kg. Haute conductivité électrique, matériau rigide. Prix revente estimé.",ferraille métal provenant 84 6kg haute conductivité électrique rigide prix revente,0,Inconnu
"Déchet plastique collecté lors d'une collecte citoyenne. Poids 29.6 kg, volume 30.6 L. Rigidité semi-rigide, non conducteur. Surface légèrement translucide.",plastique lors citoyenne 29 6kg 30 rigidité semi rigide conducteur surface légèrement translucide,0,Moyen
"Déchet en verre collecté au Centre de Tri. Poids lourd : 206.7 kg, volume 379.1 L. Très rigide, non conducteur, aspect légèrement translucide.",verre centre tri lourd 206 7kg 379 très rigide conducteur aspect légèrement translucide,0,Moyen
"Lot de papier récupéré via la collecte citoyenne. Poids léger de 14.4 kg, volume petit. Matériau souple, non conducteur, aspect très opaque. Bon état général.",papier récupéré via citoyenne léger 14 4kg petit souple conducteur aspect très opaque bon état général,0,Inconnu
"Collecte de déchets papier en provenance de l'Usine A. Masse 12.7 kg. Matériau semi-rigide, sans conductivité électrique. Surface très opaque.",déchets papier 12 7kg semi rigide sans conductivité électrique surface très opaque,0,Inconnu
"Déchets plastiques divers au Centre de Tri. Poids estimé non mesuré kg. Opacité semi-opaque, souplesse variable. Aucune anomalie signalée.",déchets plastique diver centre tri mesuré opacité semi opaque souplesse variable aucune anomalie signalée,0,Inconnu
"Papier usagé au Centre de Tri. Poids relevé : non mesuré kg. Faible rigidité, non conducteur. Conditionnement non conforme au protocole.",papier usagé centre tri relevé mesuré faible rigidité conducteur conditionnement conforme protocole,0,Inconnu
"Bris de verre ou contenants depuis l'Usine B. Masse 172.1 kg. Matériau dense, rigidité élevée, transparence partielle. Légère contamination observée.",bris verre contenants depuis 172 1kg dense rigidité élevée transparence partielle légère contamination observée,1,Moyen
"Plastique de tri sélectif issu de la collecte citoyenne. Masse 54.0 kg. Matériau semi-rigide, faible conductivité. Légère contamination observée.",plastique tri sélectif citoyenne 54 0kg semi rigide faible conductivité légère contamination observée,1,Inconnu
"Déchet en verre collecté via la collecte citoyenne. Poids lourd : non mesuré kg, volume 348.1 L. Très rigide, non conducteur, aspect légèrement translucide.",verre via citoyenne lourd mesuré 348 très rigide conducteur aspect légèrement translucide,0,Moyen
"Lot plastique depuis l'Usine B. Volume 34.3 L, poids 20.0 kg. Aspect semi-opaque, rigidité moyenne. Aucune trace de métal.",plastique depuis 34 20 0kg aspect semi opaque rigidité moyenne aucune trace métal,1,Moyen
"Déchets plastiques divers via la collecte citoyenne. Poids estimé 39.2 kg. Opacité légèrement translucide, souplesse variable. Étiquetage absent sur le conteneur.",déchets plastique diver via citoyenne 39 2kg opacité légèrement translucide souplesse variable étiquetage absent conteneur,0,Moyen
"Ferraille ou métal collecté à l'Usine A. Masse 63.2 kg. Haute conductivité électrique, matériau extrêmement rigide. Prix revente estimé.",ferraille métal 63 2kg haute conductivité électrique extrêmement rigide prix revente,0,Inconnu
"Déchet non catégorisé collecté en provenance de l'Usine A. Poids 234.4 kg, volume 475.9 L. Caractéristiques ambiguës. Nécessite analyse complémentaire.",catégorisé 234 4kg 475 caractéristiques ambiguës nécessite analyse complémentaire,0,Inconnu
"Collecte de déchets papier issu de la collecte citoyenne. Masse 21.3 kg. Matériau semi-rigide, sans conductivité électrique. Surface très opaque.",déchets papier citoyenne 21 3kg semi rigide sans conductivité électrique surface très opaque,0,Inconnu
"Collecte de déchets papier en provenance de l'Usine B. Masse 15.6 kg. Matériau souple, sans conductivité électrique. Surface très opaque.",déchets papier 15 6kg souple sans conductivité électrique surface très opaque,0,Inconnu
"Bris de verre ou contenants depuis le Centre de Tri. Masse 177.0 kg. Matériau dense, rigidité élevée, transparence partielle. Lot conforme aux standards de tri.",bris verre contenants depuis centre tri 177 0kg dense rigidité élevée transparence partielle conforme standard tri,0,Moyen
"Déchet de type papier identifié via la collecte citoyenne. Volume estimé 37.7 L, poids 23.4 kg. Texture semi-rigide, très opaque.",papier identifié via citoyenne 37 23 4kg texture semi rigide très opaque,0,Inconnu
"Lot de papier récupéré au Centre de Tri. Poids léger de 13.5 kg, volume moyen. Matériau souple, non conducteur, aspect très opaque. Bon état général.",papier récupéré centre tri léger 13 5kg moyen souple conducteur aspect très opaque bon état général,0,Moyen
"Déchets en verre identifiés en provenance de l'Usine B. Poids 149.1 kg, volume 287.5 L. Non conducteur, très rigide. Nécessite manipulation avec précaution.",déchets verre identifiés 149 1kg 287 conducteur très rigide nécessite manipulation précaution,0,Inconnu
"Lot plastique depuis le Centre de Tri. Volume 30.2 L, poids 35.1 kg. Aspect indéterminée, rigidité moyenne. Aucune trace de métal.",plastique depuis centre tri 30 35 1kg aspect indéterminée rigidité moyenne aucune trace métal,1,Moyen
"Bris de verre ou contenants à l'Usine B. Masse 138.9 kg. Matériau dense, rigidité élevée, transparence partielle. État dégradé, recyclage partiel possible.",bris verre contenants 138 9kg dense rigidité élevée transparence partielle état dégradé recyclage partiel possible,0,Moyen
"Déchet plastique collecté à l'Usine B. Poids 27.4 kg, volume 21.5 L. Rigidité rigide, non conducteur. Surface indéterminée.",plastique 27 4kg 21 rigidité rigide conducteur surface indéterminée,0,Inconnu
"Feuilles et cartons collectés en provenance de l'Usine A. Masse totale non mesuré kg. Matériau léger, souple et opaque. Acheminement prioritaire demandé.",feuilles carton totale mesuré léger souple opaque acheminement prioritaire demandé,0,Inconnu
"Feuilles et cartons collectés provenant de l'Usine A. Masse totale 8.9 kg. Matériau léger, souple et opaque. Acheminement prioritaire demandé.",feuilles carton provenant totale 8 9kg léger souple opaque acheminement prioritaire demandé,0,Inconnu
"Déchet non catégorisé collecté en provenance de l'Usine B. Poids 16.1 kg, volume 53.2 L. Caractéristiques ambiguës. Nécessite analyse complémentaire.",catégorisé 16 1kg 53 caractéristiques ambiguës nécessite analyse complémentaire,0,Inconnu
"Ferraille ou métal collecté lors d'une collecte citoyenne. Masse 58.4 kg. Haute conductivité électrique, matériau extrêmement rigide. Prix revente estimé.",ferraille métal lors citoyenne 58 4kg haute conductivité électrique extrêmement rigide prix revente,0,Inconnu
"Emballages plastiques récupérés à l'Usine A. Masse 36.0 kg, volume 94.7 L. semi-rigide, non conducteur.",emballages plastique récupérés 36 0kg 94 semi rigide conducteur,0,Inconnu
Déchet inclassifiable détecté depuis l'Usine B. Masse estimée 82.1 kg. Agent de tri recommande contrôle visuel supplémentaire. Étiquetage absent sur le conteneur.,inclassifiable détecté depuis 82 1kg agent tri recommande contrôle visuel supplémentaire étiquetage absent conteneur,0,Inconnu
"Déchet métallique détecté au Centre de Tri. Poids 52.9 kg, volume 133.5 L. Conductivité élevée (0.920), rigidité importante. Poids anormalement élevé pour cette catégorie.",métallique détecté centre tri 52 9kg 133 conductivité élevée 0 920 rigidité importante anormalement élevé cette catégorie,0,Inconnu
Lot de verre trié au Centre de Tri. Masse -99.0 kg. Matériau lourd et extrêmement rigide. Aspect légèrement translucide. Matériau mélangé à d'autres déchets.,verre trié centre tri 99 0kg lourd extrêmement rigide aspect légèrement translucide mélangé autres déchets,0,Moyen
"Métal de récupération lors d'une collecte citoyenne. Masse 57.0 kg. Forte conductivité (0.919), rigidité élevée. Bonne valeur marchande.",métal récupération lors citoyenne 57 0kg forte conductivité 0 919 rigidité élevée bonne valeur marchande,0,Inconnu
"Déchet en verre collecté au centre de tri municipal. Poids lourd : 214.5 kg, volume 394.1 L. Très rigide, non conducteur, aspect légèrement translucide.",verre centre tri municipal lourd 214 5kg 394 très rigide conducteur aspect légèrement translucide,0,Moyen
"Verre recyclable à l'emplacement non spécifié. Poids 153.8 kg, volume 275.0 L. Rigidité extrêmement rigide, faible conductivité. Surface lisse.",verre recyclable emplacement spécifié 153 8kg 275 rigidité extrêmement rigide faible conductivité surface lisse,0,Inconnu
"Métal de récupération en provenance de l'Usine B. Masse 76.6 kg. Forte conductivité (0.826), rigidité élevée. Bonne valeur marchande.",métal récupération 76 6kg forte conductivité 0 826 rigidité élevée bonne valeur marchande,0,Inconnu
"Matériau inconnu au centre de tri municipal. Poids 22.3 kg, volume 29.5 L. Propriétés mixtes. Orientation vers tri manuel.",inconnu centre tri municipal 22 3kg 29 propriétés mixtes orientation vers tri manuel,0,Inconnu
"Plastique de tri sélectif depuis le Centre de Tri. Masse -99.0 kg. Matériau semi-rigide, faible conductivité. Légère contamination observée.",plastique tri sélectif depuis centre tri 99 0kg semi rigide faible conductivité légère contamination observée,1,Inconnu
"Déchet plastique collecté au centre de tri municipal. Poids 28.4 kg, volume 33.8 L. Rigidité semi-rigide, non conducteur. Surface semi-opaque.",plastique centre tri municipal 28 4kg 33 rigidité semi rigide conducteur surface semi opaque,0,Inconnu
"Déchet plastique collecté depuis le Centre de Tri. Poids non mesuré kg, volume 19.1 L. Rigidité rigide, non conducteur. Surface légèrement translucide.",plastique depuis centre tri mesuré 19 rigidité rigide conducteur surface légèrement translucide,0,Moyen
"Déchet plastique collecté à l'Usine B. Poids non mesuré kg, volume 101.4 L. Rigidité semi-rigide, non conducteur. Surface légèrement translucide.",plastique mesuré 101 rigidité semi rigide conducteur surface légèrement translucide,0,Moyen
Déchets métalliques triés depuis le Centre de Tri. Poids 53.0 kg. Conductivité mesurée : 0.973. Matériau dense et résistant. Étiquetage absent sur le conteneur.,déchets métalliques triés depuis centre tri 53 0kg conductivité mesurée 0 973 dense résistant étiquetage absent conteneur,0,Inconnu
Déchets métalliques triés issu de la collecte citoyenne. Poids 56.1 kg. Conductivité mesurée : 0.854. Matériau dense et résistant. Conditionnement non conforme au protocole.,déchets métalliques triés citoyenne 56 1kg conductivité mesurée 0 854 dense résistant conditionnement conforme protocole,0,Inconnu
"Déchet de type papier identifié à l'Usine A. Volume estimé 17.8 L, poids 13.4 kg. Texture souple, très opaque.",papier identifié 17 13 4kg texture souple très opaque,0,Inconnu
"Emballages plastiques récupérés lors d'une collecte citoyenne. Masse non mesuré kg, volume 73.0 L. semi-rigide, non conducteur.",emballages plastique récupérés lors citoyenne mesuré 73 semi rigide conducteur,0,Inconnu
"Ferraille ou métal collecté provenant de l'Usine A. Masse 85.7 kg. Haute conductivité électrique, matériau extrêmement rigide. Prix revente estimé.",ferraille métal provenant 85 7kg haute conductivité électrique extrêmement rigide prix revente,0,Inconnu
"Papier usagé via la collecte citoyenne. Poids relevé : 15.7 kg. Faible rigidité, non conducteur. Volume surestimé, vérification recommandée.",papier usagé via citoyenne relevé 15 7kg faible rigidité conducteur surestimé vérification recommandée,0,Inconnu
"Plastique de tri sélectif à l'Usine A. Masse non mesuré kg. Matériau rigide, faible conductivité. Volume surestimé, vérification recommandée.",plastique tri sélectif mesuré rigide faible conductivité surestimé vérification recommandée,0,Inconnu
"Verre recyclable provenant de l'Usine A. Poids 153.9 kg, volume 315.8 L. Rigidité extrêmement rigide, faible conductivité. Surface lisse.",verre recyclable provenant 153 9kg 315 rigidité extrêmement rigide faible conductivité surface lisse,0,Inconnu
"Lot de papier récupéré provenant de l'Usine A. Poids léger de 11.3 kg, volume petit. Matériau souple, non conducteur, aspect très opaque. Bon état général.",papier récupéré provenant léger 11 3kg petit souple conducteur aspect très opaque bon état général,0,Inconnu
"Métal de récupération en provenance de l'Usine A. Masse non mesuré kg. Forte conductivité (0.889), rigidité élevée. Bonne valeur marchande.",métal récupération mesuré forte conductivité 0 889 rigidité élevée bonne valeur marchande,0,Inconnu
"Déchet en verre collecté à l'Usine B. Poids lourd : 176.9 kg, volume 353.3 L. Très rigide, non conducteur, aspect légèrement translucide.",verre lourd 176 9kg 353 très rigide conducteur aspect légèrement translucide,0,Moyen
Lot de verre trié via la collecte citoyenne. Masse -99.0 kg. Matériau lourd et extrêmement rigide. Aspect légèrement translucide. Poids anormalement élevé pour cette catégorie.,verre trié via citoyenne 99 0kg lourd extrêmement rigide aspect légèrement translucide anormalement élevé cette catégorie,0,Moyen
"Déchets en verre identifiés en provenance de l'Usine A. Poids 213.2 kg, volume 450.1 L. Non conducteur, très rigide. Nécessite manipulation avec précaution.",déchets verre identifiés 213 2kg 450 conducteur très rigide nécessite manipulation précaution,0,Inconnu
"Papier usagé lors d'une collecte citoyenne. Poids relevé : 23.2 kg. Faible rigidité, non conducteur. Acheminement prioritaire demandé.",papier usagé lors citoyenne relevé 23 2kg faible rigidité conducteur acheminement prioritaire demandé,0,Inconnu
"Ferraille ou métal collecté au Centre de Tri. Masse 45.1 kg. Haute conductivité électrique, matériau extrêmement rigide. Prix revente estimé.",ferraille métal centre tri 45 1kg haute conductivité électrique extrêmement rigide prix revente,0,Inconnu
"Bris de verre ou contenants en provenance de l'Usine A. Masse 178.1 kg. Matériau dense, rigidité élevée, transparence partielle. Aucune anomalie signalée.",bris verre contenants 178 1kg dense rigidité élevée transparence partielle aucune anomalie signalée,0,Moyen
"Plastique de tri sélectif issu de la collecte citoyenne. Masse 27.4 kg. Matériau semi-rigide, faible conductivité. Odeur inhabituelle signalée par l'agent.",plastique tri sélectif citoyenne 27 4kg semi rigide faible conductivité odeur inhabituelle signalée agent,0,Inconnu
"Déchets en verre identifiés en provenance de l'Usine B. Poids 129.5 kg, volume 240.2 L. Non conducteur, très rigide. Nécessite manipulation avec précaution.",déchets verre identifiés 129 5kg 240 conducteur très rigide nécessite manipulation précaution,0,Inconnu
"Verre recyclable via la collecte citoyenne. Poids 203.7 kg, volume 399.6 L. Rigidité extrêmement rigide, faible conductivité. Surface lisse.",verre recyclable via citoyenne 203 7kg 399 rigidité extrêmement rigide faible conductivité surface lisse,0,Inconnu
"Collecte de déchets papier en provenance de l'Usine A. Masse 14.1 kg. Matériau semi-rigide, sans conductivité électrique. Surface très opaque.",déchets papier 14 1kg semi rigide sans conductivité électrique surface très opaque,0,Inconnu
"Lot de papier récupéré au Centre de Tri. Poids léger de 21.7 kg, volume moyen. Matériau souple, non conducteur, aspect très opaque. Bon état général.",papier récupéré centre tri léger 21 7kg moyen souple conducteur aspect très opaque bon état général,0,Moyen
"Métal de récupération issu de la collecte citoyenne. Masse non mesuré kg. Forte conductivité (0.890), rigidité élevée. Bonne valeur marchande.",métal récupération citoyenne mesuré forte conductivité 0 890 rigidité élevée bonne valeur marchande,0,Inconnu
"Déchet plastique collecté depuis le Centre de Tri. Poids 8.5 kg, volume 52.3 L. Rigidité rigide, non conducteur. Surface légèrement translucide.",plastique depuis centre tri 8 5kg 52 rigidité rigide conducteur surface légèrement translucide,0,Moyen
"Feuilles et cartons collectés sans localisation enregistrée. Masse totale 23.2 kg. Matériau léger, souple et opaque. Légère contamination observée.",feuilles carton sans localisation enregistrée totale 23 2kg léger souple opaque légère contamination observée,1,Inconnu
"Lot de verre trié issu de la collecte citoyenne. Masse 180.1 kg. Matériau lourd et extrêmement rigide. Aspect légèrement translucide. Volume surestimé, vérification recommandée.",verre trié citoyenne 180 1kg lourd extrêmement rigide aspect légèrement translucide surestimé vérification recommandée,0,Moyen
"Matériau inconnu via la collecte citoyenne. Poids 53.2 kg, volume 106.0 L. Propriétés mixtes. Orientation vers tri manuel.",inconnu via citoyenne 53 2kg 106 propriétés mixtes orientation vers tri manuel,0,Inconnu
"Déchets en verre identifiés à l'Usine B. Poids 182.7 kg, volume 341.7 L. Non conducteur, très rigide. Nécessite manipulation avec précaution.",déchets verre identifiés 182 7kg 341 conducteur très rigide nécessite manipulation précaution,0,Inconnu
"Bris de verre ou contenants depuis l'Usine B. Masse 210.7 kg. Matériau dense, rigidité élevée, transparence partielle. Légère contamination observée.",bris verre contenants depuis 210 7kg dense rigidité élevée transparence partielle légère contamination observée,1,Moyen
"Feuilles et cartons collectés en provenance de l'Usine B. Masse totale 21.6 kg. Matériau léger, souple et opaque. Acheminement prioritaire demandé.",feuilles carton totale 21 6kg léger souple opaque acheminement prioritaire demandé,0,Inconnu
"Déchet métallique détecté à l'Usine A. Poids 56.2 kg, volume 120.3 L. Conductivité élevée (0.985), rigidité importante. Acheminement prioritaire demandé.",métallique détecté 56 2kg 120 conductivité élevée 0 985 rigidité importante acheminement prioritaire demandé,0,Inconnu
"Emballages plastiques récupérés dans un site non renseigné. Masse 29.0 kg, volume 29.9 L. semi-rigide, non conducteur.",emballages plastique récupérés 29 0kg 29 semi rigide conducteur,0,Inconnu
"Déchet plastique collecté via la collecte citoyenne. Poids 13.1 kg, volume 24.2 L. Rigidité rigide, non conducteur. Surface indéterminée.",plastique via citoyenne 13 1kg 24 rigidité rigide conducteur surface indéterminée,0,Inconnu
"Déchet de type papier identifié issu de la collecte citoyenne. Volume estimé 46.0 L, poids 15.3 kg. Texture souple, très opaque.",papier identifié citoyenne 46 15 3kg texture souple très opaque,0,Inconnu
"Collecte de déchets papier via la collecte citoyenne. Masse 22.6 kg. Matériau souple, sans conductivité électrique. Surface très opaque.",déchets papier via citoyenne 22 6kg souple sans conductivité électrique surface très opaque,0,Inconnu
Déchets métalliques triés au centre de tri municipal. Poids 44.1 kg. Conductivité mesurée : 0.972. Matériau dense et résistant. Acheminement prioritaire demandé.,déchets métalliques triés centre tri municipal 44 1kg conductivité mesurée 0 972 dense résistant acheminement prioritaire demandé,0,Inconnu
"Déchets plastiques divers à l'Usine B. Poids estimé non mesuré kg. Opacité légèrement translucide, souplesse variable. Odeur inhabituelle signalée par l'agent.",déchets plastique diver mesuré opacité légèrement translucide souplesse variable odeur inhabituelle signalée agent,0,Moyen
"Plastique de tri sélectif issu de la collecte citoyenne. Masse 21.8 kg. Matériau semi-rigide, faible conductivité. Acheminement prioritaire demandé.",plastique tri sélectif citoyenne 21 8kg semi rigide faible conductivité acheminement prioritaire demandé,0,Inconnu
"Lot plastique depuis l'Usine B. Volume 72.2 L, poids non mesuré kg. Aspect semi-opaque, rigidité moyenne. Aucune trace de métal.",plastique depuis 72 mesuré aspect semi opaque rigidité moyenne aucune trace métal,1,Moyen
"Déchets en verre identifiés provenant de l'Usine A. Poids 256.4 kg, volume 521.0 L. Non conducteur, très rigide. Nécessite manipulation avec précaution.",déchets verre identifiés provenant 256 4kg 521 conducteur très rigide nécessite manipulation précaution,0,Inconnu
"Emballages plastiques récupérés en provenance de l'Usine B. Masse non mesuré kg, volume 66.9 L. semi-rigide, non conducteur.",emballages plastique récupérés mesuré 66 semi rigide conducteur,0,Inconnu
"Bris de verre ou contenants au Centre de Tri. Masse 202.4 kg. Matériau dense, rigidité élevée, transparence partielle. Volume surestimé, vérification recommandée.",bris verre contenants centre tri 202 4kg dense rigidité élevée transparence partielle surestimé vérification recommandée,0,Moyen
"Déchet métallique détecté depuis le Centre de Tri. Poids 66.5 kg, volume 150.9 L. Conductivité élevée (0.962), rigidité importante. Légère contamination observée.",métallique détecté depuis centre tri 66 5kg 150 conductivité élevée 0 962 rigidité importante légère contamination observée,1,Inconnu
"Lot de verre trié depuis l'Usine B. Masse 154.9 kg. Matériau lourd et extrêmement rigide. Aspect légèrement translucide. État dégradé, recyclage partiel possible.",verre trié depuis 154 9kg lourd extrêmement rigide aspect légèrement translucide état dégradé recyclage partiel possible,0,Moyen
"Lot métallique au Centre de Tri. Poids 67.5 kg, volume 127.9 L. Conducteur, très rigide. Aspect très opaque. Volume surestimé, vérification recommandée.",métallique centre tri 67 5kg 127 conducteur très rigide aspect très opaque surestimé vérification recommandée,0,Inconnu
"Déchets plastiques divers au Centre de Tri. Poids estimé 42.2 kg. Opacité semi-opaque, souplesse variable. Odeur inhabituelle signalée par l'agent.",déchets plastique diver centre tri 42 2kg opacité semi opaque souplesse variable odeur inhabituelle signalée agent,0,Inconnu
"Plastique de tri sélectif provenant de l'Usine A. Masse non mesuré kg. Matériau semi-rigide, faible conductivité. Lot conforme aux standards de tri.",plastique tri sélectif provenant mesuré semi rigide faible conductivité conforme standard tri,0,Inconnu
"Lot métallique lors d'une collecte citoyenne. Poids 47.9 kg, volume 128.7 L. Conducteur, très rigide. Aspect très opaque. Lot conforme aux standards de tri.",métallique lors citoyenne 47 9kg 128 conducteur très rigide aspect très opaque conforme standard tri,0,Inconnu
"Collecte de déchets papier depuis le Centre de Tri. Masse 20.2 kg. Matériau souple, sans conductivité électrique. Surface très opaque.",déchets papier depuis centre tri 20 2kg souple sans conductivité électrique surface très opaque,0,Inconnu
Déchets métalliques triés issu de la collecte citoyenne. Poids non mesuré kg. Conductivité mesurée : 0.955. Matériau dense et résistant. Matériau mélangé à d'autres déchets.,déchets métalliques triés citoyenne mesuré conductivité mesurée 0 955 dense résistant mélangé autres déchets,0,Inconnu
"Feuilles et cartons collectés à l'Usine B. Masse totale 12.1 kg. Matériau léger, souple et opaque. Traces d'humidité détectées.",feuilles carton totale 12 1kg léger souple opaque trace humidité détectées,1,Inconnu
"Déchet non catégorisé collecté à l'emplacement non spécifié. Poids 214.9 kg, volume 398.7 L. Caractéristiques ambiguës. Nécessite analyse complémentaire.",catégorisé emplacement spécifié 214 9kg 398 caractéristiques ambiguës nécessite analyse complémentaire,0,Inconnu
"Bris de verre ou contenants au centre de tri municipal. Masse 164.4 kg. Matériau dense, rigidité élevée, transparence partielle. Odeur inhabituelle signalée par l'agent.",bris verre contenants centre tri municipal 164 4kg dense rigidité élevée transparence partielle odeur inhabituelle signalée agent,0,Moyen
"Déchet en verre collecté depuis l'Usine B. Poids lourd : 230.7 kg, volume non mesuré L. Très rigide, non conducteur, aspect légèrement translucide.",verre depuis lourd 230 7kg mesuré très rigide conducteur aspect légèrement translucide,0,Moyen
"Déchets plastiques divers en provenance de l'Usine A. Poids estimé 42.3 kg. Opacité semi-opaque, souplesse variable. Acheminement prioritaire demandé.",déchets plastique diver 42 3kg opacité semi opaque souplesse variable acheminement prioritaire demandé,0,Inconnu
"Verre recyclable au Centre de Tri. Poids 121.5 kg, volume 230.4 L. Rigidité extrêmement rigide, faible conductivité. Surface lisse.",verre recyclable centre tri 121 5kg 230 rigidité extrêmement rigide faible conductivité surface lisse,0,Inconnu
"Feuilles et cartons collectés dans un site non renseigné. Masse totale 10.0 kg. Matériau léger, souple et opaque. Conditionnement non conforme au protocole.",feuilles carton totale 10 0kg léger souple opaque conditionnement conforme protocole,0,Inconnu
Lot de verre trié au Centre de Tri. Masse 176.7 kg. Matériau lourd et de rigidité non mesurée. Aspect légèrement translucide. Traces d'humidité détectées.,verre trié centre tri 176 7kg lourd rigidité mesurée aspect légèrement translucide trace humidité détectées,1,Moyen
"Lot métallique dans un site non renseigné. Poids 25.0 kg, volume 39.9 L. Conducteur, très rigide. Aspect très opaque. Aucune anomalie signalée.",métallique 25 0kg 39 conducteur très rigide aspect très opaque aucune anomalie signalée,0,Inconnu
"Ferraille ou métal collecté en provenance de l'Usine B. Masse 61.1 kg. Haute conductivité électrique, matériau rigide. Prix revente estimé.",ferraille métal 61 1kg haute conductivité électrique rigide prix revente,0,Inconnu
"Lot plastique depuis le Centre de Tri. Volume 47.3 L, poids 27.6 kg. Aspect semi-opaque, rigidité moyenne. Aucune trace de métal.",plastique depuis centre tri 47 27 6kg aspect semi opaque rigidité moyenne aucune trace métal,1,Moyen
"Déchet métallique détecté lors d'une collecte citoyenne. Poids 62.3 kg, volume 174.0 L. Conductivité élevée (0.832), rigidité importante. Légère contamination observée.",métallique détecté lors citoyenne 62 3kg 174 conductivité élevée 0 832 rigidité importante légère contamination observée,1,Inconnu
"Feuilles et cartons collectés à l'Usine B. Masse totale 11.1 kg. Matériau léger, souple et opaque. Étiquetage absent sur le conteneur.",feuilles carton totale 11 1kg léger souple opaque étiquetage absent conteneur,0,Inconnu
Lot de verre trié à l'Usine B. Masse 143.4 kg. Matériau lourd et extrêmement rigide. Aspect légèrement translucide. Lot conforme aux standards de tri.,verre trié 143 4kg lourd extrêmement rigide aspect légèrement translucide conforme standard tri,0,Moyen
"Emballages plastiques récupérés au Centre de Tri. Masse non mesuré kg, volume -5.1 L. rigide, non conducteur.",emballages plastique récupérés centre tri mesuré 5 rigide conducteur,0,Inconnu
"Bris de verre ou contenants via la collecte citoyenne. Masse 193.5 kg. Matériau dense, rigidité élevée, transparence partielle. État dégradé, recyclage partiel possible.",bris verre contenants via citoyenne 193 5kg dense rigidité élevée transparence partielle état dégradé recyclage partiel possible,0,Moyen
"Verre recyclable depuis le Centre de Tri. Poids 180.8 kg, volume 312.2 L. Rigidité extrêmement rigide, faible conductivité. Surface lisse.",verre recyclable depuis centre tri 180 8kg 312 rigidité extrêmement rigide faible conductivité surface lisse,0,Inconnu
"Papier usagé depuis l'Usine B. Poids relevé : non mesuré kg. Faible rigidité, non conducteur. Poids anormalement élevé pour cette catégorie.",papier usagé depuis relevé mesuré faible rigidité conducteur anormalement élevé cette catégorie,0,Inconnu
"Lot métallique au Centre de Tri. Poids 64.0 kg, volume 134.5 L. Conducteur, très rigide. Aspect très opaque. Légère contamination observée.",métallique centre tri 64 0kg 134 conducteur très rigide aspect très opaque légère contamination observée,1,Inconnu
